DAY,HDFC,RELIANCE,DABUR,DLF,
161,1312.7,471.43,266.7,129,
162,1275.09,469.78,271,126.95,
163,1266.59,468.48,271.95,123.9,
164,1264.65,470.5,272.45,120.4,
165,1256.84,473.85,269.75,116.5,
166,1221.05,479.9,270.85,118.7,
167,1221.4,483.6,270.2,120.1,
168,1220.15,475.65,270.05,122.35,
169,1205.84,468.3,266.25,116.15,
170,1205.4,476.2,267.64,118.5,
171,1190.75,480.63,266.64,113.9,
172,1171.34,461.38,264.64,108.75,
173,1177.4,464.23,266.75,112,
174,1178.75,466.53,267.55,110.2,
175,1178.4,467.15,260.89,109.85,
176,1200.75,463.88,264.05,111.4,
177,1178.7,456,269.05,106.5,
178,1214.2,467.38,274,103.3,
179,1205.75,473.43,275.89,102.25,
180,1191.15,476.88,274.8,103.15,
181,1218.95,483.85,275.2,107.15,
182,1222.65,494.33,279.8,113.55,
183,1230.59,489.53,275.7,114.05,
184,1211.2,482.93,272.55,114.6,
185,1224.7,482.95,278.5,117.9,
186,1211.75,488.98,283.89,117.05,
187,1200.2,488.6,276.85,118.9,
188,1171.59,482.73,271.7,117.15,
189,1184.59,476.03,276.25,116.6,
190,1171.55,470.45,275.1,110.4,
191,1153.25,457.95,269.89,110.45,
192,1182.3,475.18,269.45,111.55,
193,1174.75,476.48,268,108.2,
194,1188.05,477.55,265.89,107.05,
195,1206.55,487.95,272.55,108.3,
196,1219.3,489.33,269.7,113.1,
197,1240.95,504.85,275.5,115.35,
198,1224.84,495.95,274,114.55,
199,1232.34,496.05,277.45,116.1,
200,1228.25,493.65,278.1,113.45,
201,1239.2,501.9,279.45,116.1,
202,1229.55,500.28,276.7,114.35,
203,1227.65,505.2,277.2,115.15,
204,1234.3,507.7,277.3,113.8,
205,1233.7,502.25,275,113.9,
206,1263.75,507.3,276.95,116,
207,1258.45,507.68,276.4,121.55,
208,1216.7,497.65,276.9,118.4,
209,1209.4,502.58,275.95,118.4,
210,1209.3,516.1,275.9,114.75,
211,1179.45,506.63,267.7,106.8,
212,1174.4,512.88,269.05,112.2,
213,1161.55,525.8,263.1,112.2,
214,1151.85,522.73,254.9,109.5,
215,1167.65,538.43,256.85,110.1,
216,1159.3,530.83,259.8,105.85,
217,1149.8,536.65,250.3,99.65,
218,1131.8,508.43,247.3,96.05,
219,1153,521.8,249.55,96.15,
220,1136.65,502.28,249.25,92.25,
221,1131.1,492.1,240.4,91.65,
222,1158.45,502.08,240.95,94.55,
223,1174.6,501.98,237.25,93.5,
224,1169.95,499.68,236.85,95.65,
225,1147.75,508.45,243.5,94.45,
226,1180,517.7,250.65,96.35,
227,1180.05,515.15,251.05,96.75,
228,1179.8,500.58,241.15,93.35,
229,1160.95,490.7,243.45,93.35,
230,1168.35,486.53,247.25,94.65,
231,1182.95,485.45,251.3,95.85,
232,1164.1,480.53,250.95,96.6,
233,1159.9,478.75,249.25,95.5,
234,1116.55,481.33,242.9,90.4,
235,1066.65,462.28,239.15,81.3,
